EXIOBASE_code,EXIOBASE_industry_code,Year,Deforestation_area_ha
AU,i02,2005,30534.35036817952
AU,i02,2006,28092.01296684479
AU,i02,2007,41266.17581475325
AU,i02,2008,30481.61254467661
AU,i02,2009,12740.0
AU,i02,2010,0.0
AU,i02,2011,0.0
AU,i02,2012,0.0
AU,i02,2013,0.0
AU,i02,2014,0.0
AU,i02,2015,0.0
AU,i02,2016,0.0
AU,i02,2017,0.0
AU,i02,2018,0.0
AU,i02,2019,0.0
AU,i02,2020,0.0
AU,i02,2021,0.0
AU,i02,2022,0.0
BE,i01.b,2001,55.83000746553524
BE,i01.b,2002,52.45869891314411
BE,i01.b,2003,10.55265987016122
BE,i01.b,2004,0.0
BE,i01.b,2005,4.161877643315052e-15
BE,i01.b,2006,0.512072783761104
BE,i01.b,2007,6.052184280170166
BE,i01.b,2008,9.72488430035759e-17
BE,i01.b,2009,26.6641522123218
BE,i01.b,2010,0.0
BE,i01.b,2011,21.4749262607081
BE,i01.b,2012,8.182324730327636e-16
BE,i01.b,2013,3.376950664592035
BE,i01.b,2014,3.140172907376649e-16
BE,i01.b,2015,1.414020713430908e-15
BE,i01.b,2016,0.0
BE,i01.b,2017,0.0
BE,i01.b,2018,103.972361436875
BE,i01.b,2019,99.00467813918227
BE,i01.b,2020,163.8347516601175
BE,i01.b,2021,184.5954980943663
BE,i01.b,2022,98.08737749050628
BE,i01.c,2001,24.900165847240284
BE,i01.c,2002,31.762752928464327
BE,i01.c,2003,12.556976620267976
BE,i01.c,2004,44.71797681315458
BE,i01.c,2005,143.05426573443336
BE,i01.c,2006,18.009062011543488
BE,i01.c,2007,5.908967049668993
BE,i01.c,2008,0.057902063131834804
BE,i01.c,2009,3.190910184969192
BE,i01.c,2010,31.83767649759196
BE,i01.c,2011,14.18425949374632
BE,i01.c,2012,17.709479413573817
BE,i01.c,2013,6.98487560714601
BE,i01.c,2014,1.8186518247706271
BE,i01.c,2015,4.198924270403192
BE,i01.c,2016,12.603446550879674
BE,i01.c,2017,29.770286004583657
BE,i01.c,2018,18.651824661025763
BE,i01.c,2019,34.1584406125961
BE,i01.c,2020,12.750225163631738
BE,i01.c,2021,24.398438417965103
BE,i01.c,2022,12.11340144264141
BE,i01.d,2001,18.975384406792536
BE,i01.d,2002,54.22458038871876
