,ISO,FAO,Deforestation_hectares,Size,ISO2
2059,DOM,397,0.5856239979006513,4.286333333333333,DO
2060,DOM,399,1.781488271593313,9.195666666666666,DO
2061,DOM,401,3.486488999551258,39.28966666666666,DO
2062,DOM,403,8.253889747459201,50.650666666666666,DO
2063,DOM,406,0.2285864588049227,3.6706666666666665,DO
2064,DOM,426,1.401087757421683,14.571,DO
2065,DOM,463,55.676374724064,90.7255,DO
2066,DOM,486,22.88381990232862,232.70533333333336,DO
2067,DOM,489,10.54839806745883,309.162,DO
2068,DOM,490,44.19482989951906,37.602333333333334,DO
2069,DOM,497,116.5239706049963,19.525,DO
2070,DOM,507,1.924692321431747,3.8603333333333336,DO
2071,DOM,567,12.60481496612661,85.7,DO
2072,DOM,568,0.5083062728205687,15.963,DO
2073,DOM,571,21.92030941049872,15.543666666666667,DO
2074,DOM,572,93.18049488337269,360.53933333333333,DO
2075,DOM,574,3.513467271267774,219.32133333333334,DO
2076,DOM,600,26.97947399477639,478.602,DO
2077,DOM,603,16.52546248867468,87.915,DO
2078,DOM,661,76.71184478274742,181.306,DO
2079,DOM,720,0.02588364420919759,0.235,DO
2080,DOM,723,0.0970240329602794,0.646,DO
2081,DOM,789,0.04785172630438812,0.015,DO
2082,DOM,826,14.71698851274641,22.537333333333333,DO
2083,DOM,836,0.02091943930568265,0.066,DO
2084,DOM,919,9.141461071525857,213.88847596495293,DO
2085,DOM,1806,173.6877603589913,334.84000000000003,DO
2086,DOM,6716,103.5099762483248,427.77695192990586,DO
2087,DZA,15,59.98662012309646,1453.1003333333333,DZ
2088,DZA,27,0.004746452620344013,0.1305,DZ
2089,DZA,44,87.12833411849995,438.15933333333334,DZ
2090,DZA,56,2.689554079599636,1.304,DZ
2091,DZA,75,4.452589306473444,18.596,DZ
2092,DZA,83,0.02687248292544257,0.6965,DZ
2093,DZA,97,0.3677975699394932,0.062,DZ
2094,DZA,116,2.978165013196079,1591.043,DZ
2095,DZA,176,1.716275484293989,1.7215,DZ
2096,DZA,181,6.069992848345731,19.599,DZ
2097,DZA,187,1.732263718257606,4.837,DZ
2098,DZA,191,35.56484540822821,27.798,DZ
2099,DZA,201,25.5660262811819,17.6045,DZ
2100,DZA,205,0.000163433300737558,0.025,DZ
2101,DZA,211,0.02040510706763572,0.304,DZ
2102,DZA,221,0.9029689865750081,289.272,DZ
2103,DZA,242,5.063192563137191,8.603,DZ
2104,DZA,260,35.43930982626347,646.591,DZ
2105,DZA,267,0.002661313557376613,0.0405,DZ
2106,DZA,328,0.1411638664308205,0.08,DZ
2107,DZA,358,1.725039852044081,39.651666666666664,DZ
2108,DZA,366,1.522907148185571,61.0045,DZ
2109,DZA,388,10.20702182176231,664.0986666666666,DZ
2110,DZA,393,4.575904810747899,108.17933333333333,DZ
2111,DZA,394,8.760520130305292,206.76666666666665,DZ
2112,DZA,397,0.02254327695810424,58.991,DZ
2113,DZA,399,2.03294007789595,41.221,DZ
2114,DZA,401,0.6110079559959288,459.637,DZ
2115,DZA,402,0.002300982036351883,0.119,DZ
2116,DZA,403,6.003324435594533,509.6406666666667,DZ
2117,DZA,406,8.414923000162304,395.135,DZ
2118,DZA,414,5.797614726142624,91.23933333333333,DZ
2119,DZA,417,18.17613374269208,152.268,DZ
2120,DZA,420,2.715289966040145,165.46166666666664,DZ
2121,DZA,426,0.9668932917689961,154.23133333333334,DZ
2122,DZA,461,0.003186949364382382,0.845,DZ
2123,DZA,463,5.386323941084034,372.76,DZ
2124,DZA,486,0.000326332034262693,0.078,DZ
2125,DZA,490,2.250257537189022,951.281,DZ
2126,DZA,495,1.519284926382415,254.153,DZ
2127,DZA,497,0.1179125195226931,85.436,DZ
2128,DZA,507,0.001162074555355082,0.674,DZ
2129,DZA,512,0.03576474074443987,0.474,DZ
2130,DZA,515,0.3433733648496095,629.744,DZ
2131,DZA,521,0.06749795320461147,219.59733333333335,DZ
2132,DZA,523,0.07305468542968843,5.004,DZ
2133,DZA,526,0.4671740901583096,164.3035,DZ
2134,DZA,531,0.9199304440527122,15.538,DZ
2135,DZA,534,0.1622892676323951,86.3635,DZ
2136,DZA,536,0.1698889161166915,52.3965,DZ
2137,DZA,560,0.8118458421575754,638.5226666666666,DZ
2138,DZA,567,12.18643364957044,645.142,DZ
2139,DZA,577,11.60222263302479,3001.53,DZ
2140,DZA,619,20.93566581235525,21.964,DZ
2141,DZA,689,0.1305188362074068,16.798,DZ
2142,DZA,826,1.074971953676417,13.276,DZ
2143,DZA,919,1.903052069477394,437.27722781122793,DZ
2144,DZA,1806,36.1579893200705,2116.066,DZ
2145,ECU,15,104.7517763429016,1.9933333333333332,EC
2146,ECU,27,889.5530004895421,474.0723333333333,EC
2147,ECU,44,4.444075102883785,4.732333333333333,EC
2148,ECU,56,184.2911399285018,386.172,EC
2149,ECU,71,0.08739022218984856,0.022,EC
2150,ECU,75,0.4119391648013891,0.251,EC
2151,ECU,83,12.21696333199924,2.972,EC
2152,ECU,92,101.5532426848288,3.462,EC
2153,ECU,122,0.6815499149782677,0.826,EC
2154,ECU,125,91.98065969521305,17.730666666666668,EC
2155,ECU,149,14.51571592299389,5.684,EC
2156,ECU,156,1634.313379719992,261.58133333333336,EC
2157,ECU,157,0.2163966973934945,0.213,EC
2158,ECU,176,347.2683648458029,14.335,EC
2159,ECU,181,18.36146758114322,0.8625,EC
2160,ECU,201,4.00365310052995,2.9526666666666666,EC
2161,ECU,236,39.91851781013808,13.607333333333333,EC
2162,ECU,242,33.31564930996116,35.632333333333335,EC
2163,ECU,249,0.3999742907714845,3.0635,EC
2164,ECU,254,4162.590769174303,389.8163333333333,EC
2165,ECU,267,0.1555431143190983,0.112,EC
2166,ECU,328,2.438145801840465,3.2785,EC
2167,ECU,333,0.05391443739459638,0.024,EC
2168,ECU,358,0.2731748909482016,1.8223333333333334,EC
2169,ECU,367,0.6048125658013399,1.458,EC
2170,ECU,372,0.4666311132149911,4.576666666666667,EC
2171,ECU,388,15.03703039040556,14.535,EC
2172,ECU,393,3.709470057084822,42.86933333333334,EC
2173,ECU,394,0.5548371149865359,1.226,EC
2174,ECU,397,0.6549870342600111,1.4695,EC
2175,ECU,401,1.463829123171474,4.601,EC
2176,ECU,406,0.3461472519815347,2.409,EC
2177,ECU,417,38.96109640361972,9.276333333333334,EC
2178,ECU,420,48.46087751914992,4.51,EC
2179,ECU,426,9.541985871812388,10.348666666666666,EC
2180,ECU,463,6.441644359898135,7.902,EC
2181,ECU,486,132.7067543494656,1975.127,EC
2182,ECU,489,1227.475622826688,176.64066666666665,EC
2183,ECU,490,76.46676962991107,30.894333333333332,EC
2184,ECU,495,4.822779808671472,10.8275,EC
2185,ECU,497,25.61207815324851,14.473333333333334,EC
2186,ECU,507,0.2930405603408451,1.929,EC
2187,ECU,512,8.368590858848211,7.762,EC
2188,ECU,515,0.8729002591531063,4.4595,EC
2189,ECU,521,0.2501644794455107,3.2945,EC
2190,ECU,534,2.30710427275055,2.856,EC
2191,ECU,544,0.1238564458389021,1.8216666666666668,EC
2192,ECU,558,1.314104234585703,9.616,EC
2193,ECU,560,0.01797147913153213,0.464,EC
2194,ECU,567,4.268817606370081,35.43933333333334,EC
2195,ECU,569,0.03810399990325869,0.027,EC
2196,ECU,571,111.6372996346661,57.001,EC
2197,ECU,572,60.8168311554683,23.900333333333332,EC
2198,ECU,574,13.35295078563775,57.809666666666665,EC
2199,ECU,600,4.334082261959677,14.586,EC
2200,ECU,603,98.16123972030644,12.791,EC
2201,ECU,619,17.54805532677263,102.937,EC
2202,ECU,656,94.09447629943836,6.337,EC
2203,ECU,661,5073.136435109875,452.697,EC
2204,ECU,667,0.2748497610522248,5.4735,EC
2205,ECU,687,31.80385689592683,20.367,EC
2206,ECU,711,0.03594295826306425,0.024,EC
2207,ECU,723,1.373390043515,0.778,EC
2208,ECU,754,0.6611012951737731,0.206,EC
2209,ECU,800,3.889259706783068,2.779,EC
2210,ECU,809,27.08096209351081,51.9075,EC
2211,ECU,826,164.6629483218771,13.5705,EC
2212,ECU,836,9.337151910157115,19.985,EC
2213,ECU,919,74.61362525398782,268.90502000000004,EC
2214,ECU,1806,1417.658879825769,949.482,EC
2215,ECU,6716,52.86042641529809,537.8100400000001,EC
2216,EGY,15,8.785991852571135,2199.2416666666663,EG
2217,EGY,27,3.077859657207493,894.822,EG
2218,EGY,44,0.392165044620686,25.545333333333332,EG
2219,EGY,56,26.60385891113517,1143.49,EG
2220,EGY,71,0.3792085274818586,25.192,EG
2221,EGY,83,1.013971986678961,181.05833333333334,EG
2222,EGY,116,6.627103323965581,908.1133333333333,EG
2223,EGY,122,0.6997789776034953,58.35,EG
2224,EGY,136,0.08648281399862258,26.362,EG
2225,EGY,149,0.0101289473469997,1.123,EG
2226,EGY,156,2.789030277419444,750.0003333333334,EG
2227,EGY,157,1.513175880952025,428.78266666666667,EG
2228,EGY,176,2.280782646797628,84.38733333333333,EG
2229,EGY,181,1.926727962605872,55.849,EG
2230,EGY,187,0.02184079976322117,0.328,EG
2231,EGY,191,0.3495478349518456,3.3126666666666664,EG
2232,EGY,201,0.0972750508338188,1.556,EG
2233,EGY,210,0.0006865252045905656,0.149,EG
2234,EGY,211,0.006417005792956966,6.216,EG
2235,EGY,222,0.003687839089409118,75.618,EG
2236,EGY,234,0.01403429828994184,8.425,EG
2237,EGY,236,0.2698578519174492,19.36133333333333,EG
2238,EGY,242,1.235089931766712,421.9763333333333,EG
2239,EGY,260,7.040460042927046,606.276,EG
2240,EGY,267,0.1066914255030241,9.067,EG
2241,EGY,289,0.6503643949258635,43.916666666666664,EG
2242,EGY,328,3.837473261824782,292.873,EG
2243,EGY,333,0.6224690518766847,8.364,EG
2244,EGY,358,0.05403541723104055,59.942,EG
2245,EGY,366,1.197679625150598,103.45866666666667,EG
2246,EGY,372,0.01140614454948854,13.400666666666666,EG
2247,EGY,373,0.02489046565561664,6.163333333333333,EG
2248,EGY,393,0.02047664779383646,21.201666666666668,EG
2249,EGY,397,0.2356519072088759,81.93566666666668,EG
2250,EGY,399,0.1085219632931447,226.83233333333334,EG
2251,EGY,401,0.8082108288094098,247.32333333333335,EG
2252,EGY,403,2.910565840441405,665.789,EG
2253,EGY,406,0.8852964932665206,133.05133333333333,EG
2254,EGY,414,0.2478895193536364,82.05,EG
2255,EGY,417,0.4547439973925324,66.522,EG
2256,EGY,420,0.1253449115187429,52.326,EG
2257,EGY,426,0.5523703911742055,34.64266666666666,EG
2258,EGY,430,0.1413985398629154,53.242333333333335,EG
2259,EGY,463,0.0930928177424807,209.157,EG
2260,EGY,486,0.6105650360004894,464.77933333333334,EG
2261,EGY,490,2.378275932887048,619.002,EG
2262,EGY,495,0.4680043042755807,395.179,EG
2263,EGY,497,0.2643948731424945,148.90733333333336,EG
2264,EGY,507,0.0004518559636516349,0.382,EG
2265,EGY,512,0.002999309575076956,2.296,EG
2266,EGY,515,0.7475071646596214,252.771,EG
2267,EGY,521,0.281001392661544,24.944333333333333,EG
2268,EGY,534,0.07848127381584141,129.90433333333334,EG
2269,EGY,536,0.03647329806094383,8.170666666666667,EG
2270,EGY,541,0.0009499868053462958,3.696,EG
2271,EGY,544,0.620047095975041,316.6623333333333,EG
2272,EGY,558,0.001941063846723704,0.3,EG
2273,EGY,560,1.185563282408363,815.1393333333334,EG
2274,EGY,567,0.08015153452312415,217.26033333333334,EG
2275,EGY,569,0.6413554269384485,100.78233333333333,EG
2276,EGY,571,8.833085518739974,645.9193333333334,EG
2277,EGY,577,1.056813385444089,756.5693333333334,EG
2278,EGY,603,0.03092432883771198,15.559,EG
2279,EGY,619,0.1729401167280948,208.45,EG
2280,EGY,689,0.09403939999349656,87.288,EG
2281,EGY,711,0.2736082399602001,62.46,EG
2282,EGY,919,0.003781407734116307,656.471581316826,EG
2283,EGY,1806,0.07184674694820983,7486.599499999999,EG
2284,ESP,15,32.08506800599799,1899.2313333333332,ES
2285,ESP,44,76.01569622256031,1882.2243333333333,ES
2286,ESP,56,20.39509886026029,781.8603333333334,ES
2287,ESP,71,7.606648734717754,86.42933333333333,ES
2288,ESP,75,39.68390502212086,276.09233333333333,ES
2289,ESP,79,0.08043385980451111,539.4654333333334,ES
2290,ESP,97,49.29927974642979,135.35366666666667,ES
2291,ESP,101,0.08467963539536508,539.4654333333334,ES
2292,ESP,103,26.557725989944,36.799,ES
2293,ESP,108,3.875038522894046,5.134,ES
2294,ESP,122,0.175727934177011,616.0953333333334,ES
2295,ESP,149,0.0292486762925495,616.0953333333334,ES
2296,ESP,156,0.003066393482283414,126.55666666666667,ES
2297,ESP,176,0.7571633137022894,101.82641666666667,ES
2298,ESP,181,3.165225702981626,10.3,ES
2299,ESP,187,8.128065615846475,76.298,ES
2300,ESP,191,1.381292325557821,101.82641666666667,ES
