Company,Date,total_score,env_score,soc_score,gov_score,orga_score,policy_score,practice_score,practice_self_score,practice_ext_score,practice_cert_score,sust_policy_score,landbank_score,cert_standards_score,def_biodiv_score,hcv_hcs_score,soils_fire_score,water_chemicals_score,community_land_labour_score,smallholders_suppliers_score,gov_grievance_score,Parent company,Subsidiaries,Bloomberg ticker,Thomson Reuters ticker,Sedol,RSPO Member,Location,Sustainability Report,SR Year
Continental AG,Mar-23,47.3,36.67,50.36,55.65,42.31,61.76,28.13,21.88,6.25,0,85,20,50,45,30,50,18.2,68.5,32.1,67.9,,"General Tire, Continental Reifen Deutschland GmbH",CON GY Equity,,,,"Germany (Hanover, Korbatch), Czech Republic (Otrokovice), Sri Lanka (Kalutara), India (Modipuram), Malaysia (Petllang Jaya), South Africa (Port Elizabeth), Brazil (Camacari), Ecuador (Cuenca), United States of America (Mount Vernon), Mexico (Morella), Portugal (Lousado), Slovakia (Puchov)",https://bit.ly/3VValxw,2021
Continental AG,Mar-22,49.8,37.15,51.87,65.52,48,63,29.84,23.39,6.45,0,-,-,-,-,-,-,-,-,-,-,,"General Tire, Continental Reifen Deutschland GmbH",CON GY Equity,,,,"Germany (Hanover, Korbatch), Czech Republic (Otrokovice), Sri Lanka (Kalutara), India (Modipuram), Malaysia (Petllang Jaya), South Africa (Port Elizabeth), Brazil (Camacari), Ecuador (Cuenca), United States of America (Mount Vernon), Mexico (Morella), Portugal (Lousado), Slovakia (Puchov)",https://bit.ly/3VValxw,2021
FELCRA Bhd,Mar-23,4.5,2.84,6.03,6.58,3.57,7.41,1.49,1.49,0,0,13.6,3.5,0,0,0,0,2.2,7.9,10.7,14.3,,Felcra Processing & Engineering Bhd,1471Z MK Equity,,,,"Malaysia (Kedah, Kelanatan)",,
FELCRA Bhd,Mar-22,4.2,2.63,4.91,10.53,7.14,4.38,1.75,1.75,0,0,-,-,-,-,-,-,-,-,-,-,,Felcra Processing & Engineering Bhd,1471Z MK Equity,,,,"Malaysia (Kedah, Kelanatan)",,
FELCRA Bhd,Mar-21,7.5,5.52,10.36,8,3.45,14.71,1.74,1.74,0,0,-,-,-,-,-,-,-,-,-,-,,Felcra Processing & Engineering Bhd,1471Z MK Equity,,,,"Malaysia (Kedah, Kelanatan)",,
FELCRA Bhd,Nov-19,9,5.79,10.76,12.5,6.9,16.67,1.74,1.74,0,0,-,-,-,-,-,-,-,-,-,-,,Felcra Processing & Engineering Bhd,1471Z MK Equity,,,,"Malaysia (Kedah, Kelanatan)",,
Goodyear Tire & Rubber Company,Mar-23,55.5,46.67,54.64,61.29,51.92,70.59,34.38,28.91,5.47,0,82.5,26.7,50,55,40,69.4,38.6,75,37.5,75,,,GT US Equity,,,,"Brazil, Canada, Chile, China, France, Finland, Germany, India, Indonesia, Japan, Luxembourg, Malaysia, Mexico, Netherlands, Peru, Poland, Singapore, Serbia, Slovenia, South Africa, Thailand, Turkey, United States of America",https://bit.ly/3h7YMnD,2021
Goodyear Tire & Rubber Company,Mar-22,57.2,48.14,56.21,62.07,56,72,34.39,28.74,5.65,0,-,-,-,-,-,-,-,-,-,-,,,GT US Equity,,,,"Brazil, Canada, Chile, China, France, Finland, Germany, India, Indonesia, Japan, Luxembourg, Malaysia, Mexico, Netherlands, Peru, Poland, Singapore, Serbia, Slovenia, South Africa, Thailand, Turkey, United States of America",https://bit.ly/3h7YMnD,2021
Groupe Blattner Elwyn,Mar-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,"Democratic Republic of the Congo (Yalusaka, Bas-Fleuve, Lisala, Bongandanga)",,
Groupe Blattner Elwyn,Mar-22,0.9,0.82,1.5,0,2.86,0.63,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,,,,,,"Democratic Republic of the Congo (Yalusaka, Bas-Fleuve, Lisala, Bongandanga)",,
