entity_id,org_id,value,datasource,created_date,modified_date
100000000805.0,1.0,549300LGUZQ61GQQXQ60,,,
100000000829.0,1.0,2594008YSYXYOTBSQL93,,,
100000000766.0,1.0,OW6OFBNCKXC4US5C7523,,,
100000000744.0,1.0,724500S75737K2SFDA03,,,
100000000746.0,1.0,21380068P1DRHMJ8KU70,,,
100000000830.0,1.0,259400BHG0F6Q1677X60,,,
100000000716.0,1.0,549300SPX2Q01JRIC729,,,
100000000772.0,1.0,5967007LIEEXZXHAI017,,,
100000000768.0,1.0,5493000Q2TIZWJ140748,,,
100000000713.0,1.0,4469000001BRMRGT8132,,,
100000000782.0,1.0,969500DKG6KGTI1K3O98,,,
100000000808.0,1.0,254900QJ68UH8GKNGI69,,,
100000124401.0,4.0,91510100740349048T,,,
100000000806.0,1.0,254900MDNXYJKHXO0P61,,,
100000000712.0,1.0,4469000001BNTACN9916,,,
100000000745.0,1.0,724500JJ6RPZ0DKHM134,,,
100000000810.0,1.0,2549001NILAZ2IS02Y35,,,
100000000722.0,1.0,549300ALHN2WW8758J26,,,
100000000831.0,1.0,259400WX4QZCOHJVWM18,,,
100000000822.0,1.0,259400HYI1DKOD4Y1V58,,,
100000000765.0,1.0,894500W4BY8GBB2AVJ44,,,
100000000735.0,1.0,724500XYIJUGXAA5QD70,,,
100000000801.0,1.0,549300FHNTXK4WDDXS04,,,
100000000827.0,1.0,259400VVMM70CQREJT74,,,
100000000719.0,1.0,4469000001BV70NI5F37,,,
100000000714.0,1.0,4469000001BQUXQ2Y081,,,
100000000734.0,1.0,O4QK7KMMK83ITNTHUG69,,,
100000000738.0,1.0,724500P7D2I6DG1CH709,,,
100000000748.0,1.0,724500RX8BS1L8GQ1W36,,,
100000000749.0,1.0,549300NCQQ9E4O5JX172,,,
100000000759.0,1.0,029200463E1OD4B73E33,,,
100000000764.0,1.0,029200663B7M4CD1H644,,,
100000000769.0,1.0,549300OLAD837KNSS311,,,
100000000781.0,1.0,549300YK417GKI6EQ392,,,
100000000815.0,1.0,549300AGC9NFF12PHN68,,,
100000000818.0,1.0,259400OI92UBLS9RJK55,,,
100000000821.0,1.0,259400GYHYZPQ0HTMT82,,,
100000000823.0,1.0,259400A9BI23M3K1NK82,,,
100000000824.0,1.0,G30CO71KTT9JDYJESN22,,,
100000000828.0,1.0,259400CXBGPCDXIXSM81,,,
100000000807.0,1.0,549300X0MVH42CY8Q105,,,
100000120984.0,2.0,4295967930,,,
100000000742.0,1.0,724500YXD2GHUYU76E05,,,
100000000921.0,1.0,3789001900ED06F65111,,,
100000127675.0,4.0,911404297767096902,,,
100000000915.0,1.0,315700JVJZISSJKXPT16,,,
100000127694.0,4.0,91140000670162025E,,,
100000000909.0,1.0,254900J0FF14U6TPQM96,,,
100000000864.0,1.0,2534005TJN9DX4YWVT97,,,
100000000860.0,1.0,253400C9GSPBSKERRP65,,,
100000000912.0,1.0,254900KS8RLQB42T5Q20,,,
100000000845.0,1.0,5493008JZL5CRK3VS565,,,
100000000835.0,1.0,549300J8BCTT1CUMOB51,,,
100000000846.0,1.0,254900QTESJKJ3P87J26,,,
100000000950.0,1.0,988400D0HSQUB1I1VO41,,,
100000000947.0,1.0,988400QG33WS7JEIV602,,,
100000000877.0,1.0,52990034TAGBM8LX3R72,,,
100000000865.0,1.0,253400CH24ZBBZMFSM69,,,
100000000903.0,1.0,254900N5LVBX92GMVN72,,,
100000000870.0,1.0,253400JPTEEW143W3E47,,,
100000000837.0,1.0,549300L6RR1203WN9F57,,,
100000000911.0,1.0,254900DIEUTF0F0TEJ65,,,
100000000869.0,1.0,549300LCJ1UJXHYBWI24,,,
100000000893.0,1.0,254900TI5RFUF56OCZ12,,,
100000000874.0,1.0,253400JT3MQWNDKMJE44,,,
100000000888.0,1.0,5586006WD91QHB7J4X50,,,
100000002541.0,1.0,95980020140005795054,,,
100000000892.0,1.0,558600G7XT53JPND2H54,,,
100000000841.0,1.0,213800JF7YRDB3HMXS13,,,
100000000884.0,1.0,54930073167WNPI6TD07,,,
100000000949.0,1.0,988400RVE88N2VK8UE98,,,
100000000868.0,1.0,253400PMFKF8Q8G1FA17,,,
100000000832.0,1.0,259400NAPDFBOTNCRL54,,,
100000000934.0,1.0,9884005R2NDALUJVZ166,,,
100000000946.0,1.0,988400N0YW2A27V3D553,,,
100000000836.0,1.0,2138003319Y7NM75FG53,,,
100000000838.0,1.0,549300HNGOW85KIOH584,,,
100000000882.0,1.0,558600Y0TFKRV2QZ1A74,,,
100000000890.0,1.0,549300FXO4ZXUIAXGP41,,,
100000000881.0,1.0,253400PAT768SVJMV121,,,
100000000914.0,1.0,315700NRJJUNP5YO5Q43,,,
100000000913.0,1.0,213800OFZ4SRW9Q1ZM44,,,
100000000849.0,1.0,5299004CPB0AZ6GLT273,,,
100000000937.0,1.0,9884001AS41NS8HVWO87,,,
100000000904.0,1.0,254900SQ7IPDOY6IDW33,,,
100000127713.0,4.0,91140000110725037N,,,
100000000994.0,1.0,5493002MXX2JLKWLE880,,,
100000001058.0,1.0,78900013HKYHSFJHP942,,,
100000001016.0,1.0,254900L66RP14M9UOM28,,,
100000001012.0,1.0,254900OJX8UZOAIVSU82,,,
100000001023.0,1.0,9845006CC45C6B3BD577,,,
100000000982.0,1.0,95980020140005886428,,,
100000000972.0,1.0,5493006QDHHNGIU2RU36,,,
100000001003.0,1.0,5493006RFWWJFJNR9D16,,,
100000001030.0,1.0,254900L46WX9IXF5VA41,,,
100000000987.0,1.0,529900HT3V9P1CIN5Q11,,,
100000000970.0,1.0,959800EL29BTQ7G34R16,,,
100000001013.0,1.0,529900UWWAOQ8470E792,,,
100000000978.0,1.0,TL2N6M87CW970S5SV098,,,
100000001069.0,1.0,529900XZCVZOEYWNBQ67,,,
100000000983.0,1.0,815600DAA9A692EF9129,,,
100000001034.0,1.0,2549001O8YYGP5N7Q076,,,
100000001015.0,1.0,254900KM6G17UTG1QN82,,,
100000000963.0,1.0,8ZQH7RR6DBQZIX8PEQ84,,,
100000001035.0,1.0,549300QOGMPTKB6W7G56,,,
100000000960.0,1.0,988400GFRE4IDFPE9E64,,,
100000000959.0,1.0,988400ZMZVGT5HJ7RS57,,,
100000001059.0,1.0,789000DHCW601ZR2IT42,,,
100000000964.0,1.0,54930002KP75TLLLNO21,,,
100000000975.0,1.0,5QK37QC7NWOJ8D7WVQ45,,,
100000000968.0,1.0,549300LHK07F2CHV4X31,,,
100000001061.0,1.0,789000YNWL2EFLXXME49,,,
100000001068.0,1.0,78900021J40OOEK4ZI81,,,
100000000971.0,1.0,959800Z88755VWPLLJ35,,,
100000001057.0,1.0,78900090FFOWNLGP0F20,,,
100000002882.0,2.0,5040695711,,,
100000000967.0,1.0,959800D6H4Y02144CN43,,,
100000000974.0,1.0,959800911AGFA1TV8753,,,
100000000979.0,1.0,9598009WUR2QZ2PEYK17,,,
100000000980.0,1.0,BSYCX13Y0NOTV14V9N85,,,
100000000985.0,1.0,213800U7P9GOIRKCTB34,,,
100000000986.0,1.0,213800UH9F1TZZJ5OJ36,,,
100000000990.0,1.0,529900NHAJN3W5HYMG07,,,
100000000991.0,1.0,549300IE30SKTUO98Q38,,,
100000000995.0,1.0,5067000GX56B8V5AV443,,,
100000000997.0,1.0,5067006E3Q64K70MK708,,,
100000001001.0,1.0,5493002GZU0LW5CRQP36,,,
100000001002.0,1.0,391200IAJJVRJSDT8F65,,,
100000001009.0,1.0,54930026E4DTBSJUWH86,,,
100000001005.0,1.0,549300SZJ9VS8SGXAN81,,,
100000001060.0,1.0,789000O84MAWOJBQ2025,,,
100000001063.0,1.0,7890005U0H950VH19H45,,,
100000127732.0,4.0,91140000724637779B,,,
100000001095.0,1.0,549300U3L59WB4YI2X12,,,
100000001094.0,1.0,5493000YYX7DZILPTI29,,,
100000001155.0,1.0,5493000C01ZX7D35SD85,,,
100000001158.0,1.0,5299004LW4QWGZUB8Y96,,,
100000001173.0,1.0,529900NGGVF94UK6PG95,,,
100000001149.0,1.0,549300OX0Q38NLSKPB49,,,
100000001156.0,1.0,5493002DIC5VIREHO020,,,
100000001163.0,1.0,5493002H80P81B3HXL31,,,
100000001146.0,1.0,549300NWUDVUGLCPBH39,,,
100000001075.0,1.0,8945000AGPSZJTCNF244,,,
100000001140.0,1.0,1B4S6S7G0TW5EE83BO58,,,
100000001164.0,1.0,549300IA9XFBAGNIBW29,,,
100000001104.0,1.0,549300YPSNTXR4ZHSR98,,,
100000001180.0,1.0,VA8TZDWPEZYU430RZ444,,,
100000001126.0,1.0,2138008K14474WPKZ244,,,
100000001096.0,1.0,213800LH1BZH3DI6G760,,,
100000001092.0,1.0,2138004Q14AQ8NHXMU02,,,
100000001161.0,1.0,549300WZNWQVZJ64Q034,,,
100000001131.0,1.0,549300DAIPZBCXX3I892,,,
100000001137.0,1.0,5493006MHB84DD0ZWV18,,,
100000001082.0,1.0,549300H4PKCQQ209AU91,,,
100000001077.0,1.0,J1Y4PL5OEWM2K0OMTW95,,,
100000001135.0,1.0,5493009ML300G373MZ12,,,
100000001147.0,1.0,2U3V7WI7HVCB625AQQ40,,,
100000001102.0,1.0,5493002I3A4J5TFOR115,,,
100000000163.0,1.0,300300VOINXQKJRAGV06,,,
100000121194.0,1.0,7872008UAX2G2LHDK228,,,
100000001177.0,1.0,21TPXMRRHFKOBHDC8J74,,,
100000001139.0,1.0,XRZQ5S7HYJFPHJ78L959,,,
100000001171.0,1.0,QXZYQNMR4JZ5RIRN4T31,,,
100000001174.0,1.0,5493002V4J8BDYHR8U49,,,
100000001107.0,1.0,549300HTGDOVDU6OGK19,,,
100000001072.0,1.0,789000FIRX9MDN0KTM91,,,
100000001091.0,1.0,0TMBS544NMO7GLCE7H90,,,
100000001122.0,1.0,213800ZPSC7XUVD3NL94,,,
100000001100.0,1.0,213800G83GP57UPHX880,,,
100000001101.0,1.0,E26EDV109X6EEPBKVH76,,,
100000001103.0,1.0,39RSBE4RCI4M15BLWH36,,,
100000001143.0,1.0,549300GW1DWMX7FLDM29,,,
100000001109.0,1.0,213800O17BER1SHMH466,,,
100000001111.0,1.0,2138008LQP7P39BCRG30,,,
100000001114.0,1.0,213800LOZA69QFDC9N34,,,
100000001120.0,1.0,2138007APL2ZK36ARO60,,,
100000001121.0,1.0,529900IYGYC6VSDSDF37,,,
100000001125.0,1.0,213800WMV4WVES8TQH05,,,
100000001128.0,1.0,213800DE48PQJ6VNN980,,,
100000001132.0,1.0,7QEON6Y1RL5XR3R1W237,,,
100000001133.0,1.0,549300K5VIUTJXQL7X75,,,
100000001085.0,1.0,213800GR9PMZV1HA6636,,,
100000001153.0,1.0,A2351DQ25OUUH2Q6RR89,,,
100000001116.0,1.0,8R95QZMKZLJX5Q2XR704,,,
100000001169.0,1.0,5493003Q8F0T4F4YMR48,,,
100000001162.0,1.0,N8O96ZZJQRFYQUJY7K79,,,
100000001253.0,1.0,549300YJPL71K6JCX130,,,
100000001212.0,1.0,3SOUA6IRML7435B56G12,,,
100000001262.0,1.0,5E2UPK5SW04M13XY7I38,,,
100000001186.0,1.0,54930033SBW53OO8T749,,,
100000001241.0,1.0,824LMFJDH41EY779Q875,,,
100000001286.0,1.0,PUSS41EMO3E6XXNV3U28,,,
100000001243.0,1.0,FTZJK89L6NCYPIPKZN93,,,
100000001210.0,1.0,549300PGTHDQY6PSUI61,,,
100000001198.0,1.0,549300I7ROF15MAEVP56,,,
100000001272.0,1.0,549300OAF0QRHXWELH41,,,
100000001293.0,1.0,PBBKGKLRK5S5C0Y4T545,,,
100000001235.0,1.0,N134NUJDWN8UEFA8B673,,,
100000001223.0,1.0,3C7474T6CDKPR9K6YT90,,,
100000001278.0,1.0,9N3UAJSNOUXFKQLF3V18,,,
100000001275.0,1.0,2549003PBEDCSZMZIY02,,,
100000001294.0,1.0,EMBXY64GWKA9MZGFUD26,,,
100000001271.0,1.0,549300GKK294V7W57P06,,,
100000001277.0,1.0,5493003JOBJGLZSDDQ28,,,
100000001193.0,1.0,ILUL7B6Z54MRYCF6H308,,,
100000001252.0,1.0,5493005HN7CKS8LDM545,,,
